date,open,high,low,close,volume
 2005-01-04,994.76,994.76,980.65,982.79,7412869
 2005-01-05,981.57,997.32,979.87,992.56,7119109
 2005-01-06,993.33,993.78,980.33,983.17,6288028
 2005-01-07,983.04,995.71,979.81,983.95,7298694
 2005-01-10,983.76,993.95,979.78,993.87,5791697
 2005-01-11,994.18,999.55,991.09,997.13,5849079
 2005-01-12,996.65,996.97,989.25,996.74,5014525
 2005-01-13,996.07,999.47,992.69,996.87,6044065
 2005-01-14,996.61,1006.46,987.23,988.3,7297842
 2005-01-17,979.11,981.52,965.07,967.45,7288188
 2005-01-18,967.37,974.87,960.29,974.68,7311847
 2005-01-19,974.33,974.33,965.25,967.21,6338090
 2005-01-20,963.21,963.21,952.23,956.24,7727106
 2005-01-21,954.46,984.27,943.43,982.6,14450059
 2005-01-24,1001.85,1001.85,986.23,998.13,14359461
 2005-01-25,995.63,997.95,985.23,997.77,9862529
 2005-01-26,995.78,999.47,988.47,989.92,7663290
 2005-01-27,987.34,987.7,973.77,974.63,6945365
 2005-01-28,974.63,975.62,965.2,969.2,5748807
 2005-01-31,965.78,965.78,953.14,954.87,6788706
 2005-02-01,953.33,965.47,952.74,955.95,7433066
 2005-02-02,956.7,1006.93,956.7,1006.91,17057338
 2005-02-03,1005.56,1014.18,992.15,993.21,16974540
 2005-02-04,992.25,1021.02,989.93,1016.85,15736215
 2005-02-16,1023.32,1033.24,1018.48,1023.58,12131293
 2005-02-17,1024.43,1024.43,1010.47,1020.6,8968297
 2005-02-18,1020.12,1021.19,1005.63,1006.05,8139939
 2005-02-21,1006.69,1025.65,1006.69,1025.63,9886094
 2005-02-22,1026.83,1048.67,1024.52,1046.74,17937840
 2005-02-23,1046.81,1049.6,1036.62,1043.93,18696928
 2005-02-24,1042.25,1045.95,1034.73,1045.46,14681788
 2005-02-25,1046.27,1059.48,1045.98,1046.76,18170004
 2005-02-28,1046.2,1048.27,1035.03,1039.98,12971046
 2005-03-01,1039.35,1042.73,1031.16,1035.93,9962090
 2005-03-02,1036.36,1045.76,1021,1021.32,14225135
 2005-03-03,1019.87,1028.4,1014.75,1027.71,9203085
 2005-03-04,1027.92,1031.84,1022.17,1023.66,8173641
 2005-03-07,1024.48,1031.34,1024.48,1029.87,7932949
 2005-03-08,1033.78,1049.28,1032.85,1048.98,14295793
 2005-03-09,1051.26,1054.64,1041.98,1046.54,15327488
 2005-03-10,1046.68,1046.68,1019.63,1022.41,13295953
 2005-03-11,1021.08,1028.11,1016.93,1027.42,11476381
 2005-03-14,1027.17,1041.56,1014.92,1031.02,14466088
 2005-03-15,1030.85,1030.93,1011.64,1013.52,12007493
 2005-03-16,1011.85,1012.19,995.96,1003.06,10622782
 2005-03-17,1001.96,1004.82,992.12,992.86,9969011
 2005-03-18,991.88,996.39,975.7,978.66,9652059
 2005-03-21,977.29,983.17,973,981.89,7252565
 2005-03-22,981.7,982.13,959.56,964.02,11375717
 2005-03-23,962.81,975.36,955.99,959.01,10930053
 2005-03-24,957.43,965.06,948.53,964.8,9260714
 2005-03-25,964.24,966.97,959.05,962.95,7107322
 2005-03-28,961.65,961.65,948.8,960.69,6669246
 2005-03-29,960.41,968.11,954.74,955.19,7577379
 2005-03-30,952.71,952.71,936.37,937.03,8950163
 2005-03-31,934.84,942.36,928.33,942.2,7859445
 2005-04-01,941.43,989.9,937.55,978.14,16347504
 2005-04-04,968.49,974.06,956.12,962.16,11435093
 2005-04-05,960.54,967.74,953.58,955.59,9534536
 2005-04-06,955.59,977.85,948.94,973.66,14282421
 2005-04-07,975.97,1000.26,974.3,984.73,20754212
 2005-04-08,984.66,1003.7,979.53,1003.45,14762526
 2005-04-11,1003.88,1008.73,992.77,995.42,15936066
 2005-04-12,993.71,993.71,978.2,978.7,10226193
 2005-04-13,987.95,1006.5,987.95,1000.9,16071687
 2005-04-14,1004.64,1006.42,985.58,986.97,12945710
 2005-04-15,982.61,982.61,971.93,974.08,10408955
 2005-04-18,970.91,970.91,958.65,963.77,8598400
 2005-04-19,962.92,968.87,957.91,965.89,9212623
 2005-04-20,964.15,964.15,946.2,950.87,8850705
